origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
LAX5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j52,11497,9096.0,1137.0,0.0001754617414248021,0.0,0.0,157.23214207513504,11370
LGB5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j74,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,95.7985063920184,11497
LAX5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j105,11497,9197.6,1149.7,0.00017352352787683743,0.0,0.0,1049.2506562609385,11497
LGB5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j21,11497,9186.4,1148.3,0.0001737350866498302,0.0,0.0,52.80227582879376,11483
DLA5,DLA5,ds_resource,2021-05-12 20:00:00,soft,1.0,j56,1906,1524.8,190.60000000000002,0.001046694648478489,6.746567157981149e-13,0.011542797548927564,1075.003955865479,1906
DLA5,DLA5,ds_resource,2021-05-11 20:00:00,soft,1.0,j3,476,269.6,33.7,0.005919881305637982,1.6442824873038186e-12,0.004900122135022129,85.03436360319868,337
DPS1,DPS1,ds_resource,2021-05-11 20:00:00,soft,1.0,j4,859,437.6,54.7,0.003647166361974406,0.0,0.0,310.5148688804925,547
DPS3,DPS3,ds_resource,2021-05-11 20:00:00,soft,1.0,j5,183,93.6,11.700000000000001,0.01705128205128205,0.0,0.0,71.23695505668101,117
DSD1,DSD1,ds_resource,2021-05-11 20:00:00,soft,1.0,j6,432,241.6,30.200000000000003,0.006605960264900662,2.492615320592277e-12,0.004611067401205258,119.89958231136727,302
DPS3,DPS3,ds_resource,2021-05-12 20:00:00,soft,1.0,j58,732,585.6,73.2,0.002725409836065574,6.663842626632832e-12,0.0072117733758918345,540.0000004138845,732
DSD2,DSD2,ds_resource,2021-05-11 20:00:00,soft,1.0,j7,119,71.2,8.9,0.02241573033707865,0.0,0.0,35.35848844845096,89
DSD1,DSD1,ds_resource,2021-05-12 20:00:00,soft,1.0,j59,1729,1383.2,172.9,0.001153846153846154,1.0242871414049874e-12,0.011090277740068072,1086.8456152156552,1729
DSD2,DSD2,ds_resource,2021-05-12 20:00:00,soft,1.0,j60,474,379.2,47.400000000000006,0.00420886075949367,3.786081052045894e-12,0.0057897874995416175,299.00000038567805,474
DPS1,DPS1,ds_resource,2021-05-12 20:00:00,soft,1.0,j57,3436,2748.8,343.6,0.000580616996507567,1.125346225500772e-12,0.015569774303026935,2479.162847080191,3436
LGB3,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j15,19,1.6,0.2,0.9975,1.8200000011077486,1.8245614047860002,3.424561404619297,2
LGB3,DLA5,fcds_resource,2021-05-12 12:00:00,soft,1.0,j65,72,57.6,7.2,0.027708333333333335,1.2199999998909217,44.03007518428196,101.63007518403268,72
LGB3,DPS1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j66,188,150.4,18.8,0.010611702127659575,0.23336269872551355,21.991071359894867,172.39107135860118,188
LGB7,DSD2,fcds_resource,2021-05-11 12:00:00,soft,1.0,j27,3,0.0,0.0,100000000.0,0.18537801353716787,0.0,0.0,0
LGB3,DPS3,fcds_resource,2021-05-12 12:00:00,soft,1.0,j67,30,24.0,3.0,0.0665,0.246843102897563,3.7119263605905477,27.711926359361595,30
LGB3,DPS3,fcds_resource,2021-05-11 12:00:00,soft,1.0,j14,8,0.0,0.0,100000000.0,0.24684310266265586,0.0,0.0,0
LGB3,DPS1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j13,47,0.0,0.0,100000000.0,0.23336269855922542,0.0,0.0,0
