fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r364' 'r4043' 'r5243'],0.04001111111111111,2021-05-11 00:00:00,0.04001110939876401,5.912108526758568e-10,1.1211362650073775e-09,"{'r47': 0.04001109795557143, 'r92': 1.1443192584471779e-08, 'r364': 1.1211362650073775e-09, 'r4043': 0.0, 'r5243': 5.912108526758568e-10}"
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r364' 'r5243'],5.0,2021-05-11 05:00:00,4.999999998131117,6.238149859794972e-10,1.2450725991438901e-09,"{'r92': 4.999999998131117, 'r364': 1.2450725991438901e-09, 'r5243': 6.238149859794972e-10}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r365' 'r4044' 'r5244'],0.04001111111111111,2021-05-11 00:00:00,0.040011109411823065,5.912111364717047e-10,1.1080769329242025e-09,"{'r47': 0.04001109796857204, 'r92': 1.1443251030540503e-08, 'r365': 1.1080769329242025e-09, 'r4044': 0.0, 'r5244': 5.912111364717047e-10}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r365' 'r5244'],3.0,2021-05-11 05:00:00,2.9999999981472443,6.238087124978418e-10,1.2289465630089364e-09,"{'r92': 2.9999999981472443, 'r365': 1.2289465630089364e-09, 'r5244': 6.238087124978418e-10}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r366' 'r4045' 'r5245'],0.04001111111111111,2021-05-11 00:00:00,0.0400111094154771,5.87556761200752e-10,1.108077241276965e-09,"{'r47': 0.04001109797217673, 'r92': 1.1443300369648098e-08, 'r366': 1.108077241276965e-09, 'r4045': 0.0, 'r5245': 5.87556761200752e-10}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r366' 'r5245'],2.0,2021-05-11 05:00:00,1.9999999981513505,6.19732838810794e-10,1.2289159974322232e-09,"{'r92': 1.9999999981513505, 'r366': 1.2289159974322232e-09, 'r5245': 6.19732838810794e-10}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r367' 'r4046' 'r5246'],0.04001111111111111,2021-05-11 00:00:00,0.04001110940602723,5.839469957272417e-10,1.1211368934537848e-09,"{'r47': 0.040011097962735866, 'r92': 1.1443291360430335e-08, 'r367': 1.1211368934537848e-09, 'r4046': 0.0, 'r5246': 5.839469957272417e-10}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r367' 'r5246'],4.0,2021-05-11 05:00:00,3.99999999813921,6.157289986958406e-10,1.2450631974593404e-09,"{'r92': 3.99999999813921, 'r367': 1.2450631974593404e-09, 'r5246': 6.157289986958406e-10}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r47' 'r92' 'r368' 'r4047' 'r5247'],0.04001111111111111,2021-05-11 00:00:00,0.04001110943026421,6.101874153394229e-10,1.0706594705262238e-09,"{'r47': 0.040011097987088545, 'r92': 1.1443175666132999e-08, 'r368': 1.0706594705262238e-09, 'r4047': 0.0, 'r5247': 6.101874153394229e-10}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r92' 'r368' 'r5247'],4.0,2021-05-11 05:00:00,3.9999999981719583,6.449818421669025e-10,1.1830631313130908e-09,"{'r92': 3.9999999981719583, 'r368': 1.1830631313130908e-09, 'r5247': 6.449818421669025e-10}"
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r47' 'r92' 'r369' 'r4048' 'r5248'],0.08002222222222222,2021-05-11 00:00:00,0.08002222048628208,5.847092133691924e-10,1.1512309811696096e-09,"{'r47': 0.08002220846609041, 'r92': 1.2020191668032574e-08, 'r369': 1.1512309811696096e-09, 'r4048': 0.0, 'r5248': 5.847092133691924e-10}"
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r92' 'r369' 'r5248'],10.0,2021-05-11 05:00:00,9.999999998105688,6.157358703461546e-10,1.278595442852814e-09,"{'r92': 9.999999998105688, 'r369': 1.278595442852814e-09, 'r5248': 6.157358703461546e-10}"
