origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
LAX5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j52,11497,8959.2,1119.9,0.00017814090543798552,0.0,0.0,0.0,11199
LGB5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j74,11497,9168.0,1146.0,0.00017408376963350786,0.0,0.0,54.84037706462923,11460
LAX5,FINAL,ddu,2021-05-12 15:00:00,soft,1.0,j105,11497,8575.2,1071.9,0.00018611810803246571,0.0,0.0,162.06111673253508,10719
LGB5,FINAL,ddu,2021-05-11 15:00:00,soft,1.0,j21,11497,9136.0,1142.0,0.00017469352014010508,0.0,0.0,0.0,11420
DLA5,DLA5,ds_resource,2021-05-12 20:00:00,soft,1.0,j56,1906,928.8,116.10000000000001,0.001718346253229974,2.529069314422662e-13,0.06774738752522738,91.21203009349044,1161
DLA5,DLA5,ds_resource,2021-05-11 20:00:00,soft,1.0,j3,476,218.4,27.3,0.007307692307692308,0.0,0.0,0.0,273
DPS1,DPS1,ds_resource,2021-05-11 20:00:00,soft,1.0,j4,859,201.6,25.200000000000003,0.007916666666666666,0.0,0.0,0.0,252
DPS3,DPS3,ds_resource,2021-05-11 20:00:00,soft,1.0,j5,183,40.8,5.1000000000000005,0.03911764705882353,0.0,0.0,0.0,51
DSD1,DSD1,ds_resource,2021-05-11 20:00:00,soft,1.0,j6,432,151.2,18.900000000000002,0.010555555555555554,0.0,0.0,0.0,189
DPS3,DPS3,ds_resource,2021-05-12 20:00:00,soft,1.0,j58,732,260.8,32.6,0.006119631901840491,0.0,0.0,190.54391859862446,326
DSD2,DSD2,ds_resource,2021-05-11 20:00:00,soft,1.0,j7,119,41.6,5.2,0.038365384615384614,0.0,0.0,0.0,52
DSD1,DSD1,ds_resource,2021-05-12 20:00:00,soft,1.0,j59,1729,670.4,83.80000000000001,0.002380668257756563,0.0,0.0,377.9224802344825,838
DSD2,DSD2,ds_resource,2021-05-12 20:00:00,soft,1.0,j60,474,167.2,20.900000000000002,0.009545454545454544,0.0,0.0,97.9593275001937,209
DPS1,DPS1,ds_resource,2021-05-12 20:00:00,soft,1.0,j57,3436,1260.8,157.60000000000002,0.0012658629441624364,0.0,0.0,803.4037859387823,1576
LGB3,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j15,19,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB3,DLA5,fcds_resource,2021-05-12 12:00:00,soft,1.0,j65,72,0.0,0.0,100000000.0,1.1680290429631561,0.0,0.0,0
LGB3,DPS1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j66,188,0.0,0.0,100000000.0,0.08802904244699161,0.0,0.0,0
LGB7,DSD2,fcds_resource,2021-05-11 12:00:00,soft,1.0,j27,3,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB3,DPS3,fcds_resource,2021-05-12 12:00:00,soft,1.0,j67,30,0.0,0.0,100000000.0,0.20434939201163904,0.0,0.0,0
LGB3,DPS3,fcds_resource,2021-05-11 12:00:00,soft,1.0,j14,8,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB3,DPS1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j13,47,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB7,DPS1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j78,84,0.0,0.0,100000000.0,1.3199999995462295,0.0,0.0,0
LGB7,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j79,51,0.0,0.0,100000000.0,0.18999999944087853,0.0,0.0,0
LGB7,DSD2,fcds_resource,2021-05-12 12:00:00,soft,1.0,j80,14,0.0,0.0,100000000.0,0.2501767652110656,0.0,0.0,0
ONT6,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j87,16,0.0,0.0,100000000.0,0.3999999999513524,0.0,0.0,0
LGB3,DSD1,fcds_resource,2021-05-12 12:00:00,soft,1.0,j68,77,8.8,1.1,0.18136363636363637,1.850000000013359,10.200501253319793,19.00050125320644,11
LGB3,DLA5,fcds_resource,2021-05-11 12:00:00,soft,1.0,j12,18,0.0,0.0,100000000.0,0.0,0.0,0.0,0
BFL1,DPS3,fcds_resource,2021-05-11 12:00:00,soft,1.0,j0,7,0.0,0.0,100000000.0,0.0,0.0,0.0,0
BFL1,DPS3,fcds_resource,2021-05-12 12:00:00,soft,1.0,j53,28,0.0,0.0,100000000.0,1.6963203457581457,0.0,0.0,0
LGB7,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j26,13,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB7,DPS1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j25,21,0.0,0.0,100000000.0,0.0,0.0,0.0,0
ONT6,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j34,4,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB7,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j29,99,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB6,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j77,60,10.4,1.3,0.38825769230769225,1.4219709574946664,3.6624411717385716,14.062441171591162,13
PHX6,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.29,j97,192,25.6,3.2,0.3297984375,3.320000000003316,10.066754788746195,35.66675478868305,32
LAS7,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,4.36,j11,130,0.8,0.1,8.698200000000002,0.0,0.0,0.0,1
LGB7,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j82,396,118.4,14.8,0.03410371621621621,1.2319709571363684,36.124243743160534,154.5242437429888,148
FAT1,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,4.26,j9,134,0.0,0.0,100000000.0,0.0,0.0,0.0,0
OAK4,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,5.36,j84,146,16.8,2.1,0.5092,4.031970957869985,7.918246185971048,24.718246185919025,21
ONT2,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.57,j86,119,16.0,2.0,0.2563575,1.4919709573478104,5.819884174965922,21.819884174825386,20
LGB7,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j40,99,16.8,2.1,0.24034999999999995,0.0,0.0,0.0,21
ONT2,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.57,j33,30,0.0,0.0,100000000.0,0.0,0.0,0.0,0
OAK4,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,5.36,j31,37,0.0,0.0,100000000.0,0.0,0.0,0.0,0
BFL1,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,3.36,j2,141,1.6,0.2,3.3516,0.0,0.0,0.0,2
LGB7,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j93,396,154.4,19.3,0.0261520725388601,0.18999999946237847,7.265198550092092,161.6651985489897,193
OAK4,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.36,j94,146,19.2,2.4000000000000004,0.44554999999999995,4.990000005556181,11.199640905790364,30.399640905755298,24
LGB6,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j24,15,8.8,1.1,0.4588499999999999,0.0,0.0,0.0,11
ONT2,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.57,j95,119,20.0,2.5,0.20508600000000002,1.6493442266646443,8.042207789369865,28.04220778924767,25
ONT6,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.56,j96,269,68.8,8.6,0.05938604651162792,0.3999999999510191,6.735588972130309,75.53558897160626,86
PSP1,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.64,j98,908,163.2,20.400000000000002,0.02581764705882353,0.5300000000422403,20.52859421483633,183.72859421444085,204
BFL1,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,3.36,j55,564,128.0,16.0,0.041895,1.4919709537487043,35.61214831733118,163.61214831717544,160
LGB3,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.48,j17,337,64.0,8.0,0.061845000000000004,0.0,0.0,0.0,80
FAT1,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,4.26,j62,536,78.4,9.8,0.08672142857142856,2.645650608077696,30.507461093142194,108.9074610930623,98
TUS2,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,6.29,j47,105,0.0,0.0,100000000.0,0.0,0.0,0.0,0
OAK4,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.36,j41,37,1.6,0.2,5.3466,0.0,0.0,0.0,2
SMF1,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.93,j46,76,0.0,0.0,100000000.0,0.0,0.0,0.0,0
PSP1,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.64,j45,227,4.8,0.6000000000000001,0.8777999999999999,0.0,0.0,0.0,6
LAS7,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,4.36,j64,518,72.0,9.0,0.09664666666666669,3.171970957444837,32.820283066681625,104.82028306661523,90
ONT6,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.56,j43,67,0.0,0.0,100000000.0,0.0,0.0,0.0,0
ONT2,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.57,j42,30,1.6,0.2,2.563575,0.0,0.0,0.0,2
LGB3,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.48,j70,1348,623.2,77.9,0.006351219512195122,2.1974406727985424e-12,0.03811438507407193,522.6241970418884,779
TUS2,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,6.29,j100,418,49.6,6.2,0.2023959677419355,4.319999999850499,21.344298742989416,70.9442987429409,62
SMF1,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.93,j99,304,40.8,5.1000000000000005,0.23196764705882353,3.9599999994241353,17.071346153854883,57.87134615380195,51
PHX6,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,5.29,j44,48,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB5,LGB5,sc_resource,2021-05-11 10:00:00,soft,1.0,j22,920,72.8,9.1,0.021923076923076924,0.0,0.0,0.0,91
LAX5,LAX5,sc_resource,2021-05-11 10:00:00,soft,1.0,j51,920,209.6,26.200000000000003,0.007614503816793893,0.0,0.0,0.0,262
LAX5,LAX5,sc_resource,2021-05-12 10:00:00,soft,1.0,j104,3679,1283.2,160.4,0.0012437655860349128,3.3324215822275643e-13,0.07983268547415998,643.8536301154666,1604
LGB5,LGB5,sc_resource,2021-05-12 10:00:00,soft,1.0,j75,3679,1056.8,132.1,0.001510219530658592,0.08802904244072386,58.288904796464436,1115.0889047940655,1321
LAX5,DLA5,scds_resource,2021-05-12 15:00:00,soft,1.0,j101,741,54.4,6.800000000000001,0.029338235294117644,1.08000000053687,36.81203009368138,91.21203009349044,68
LAX5,DSD1,scds_resource,2021-05-12 15:00:00,soft,1.0,j102,1345,469.6,58.7,0.0033986371379897784,0.0,0.0,358.9219789812759,587
LAX5,DSD2,scds_resource,2021-05-12 15:00:00,soft,1.0,j103,369,94.4,11.8,0.01690677966101695,0.060176765787168386,3.5593275036768945,97.9593275001937,118
LGB5,DLA5,scds_resource,2021-05-11 15:00:00,soft,1.0,j18,185,0.0,0.0,100000000.0,0.0,0.0,0.0,0
LGB5,DPS3,scds_resource,2021-05-12 15:00:00,soft,1.0,j73,570,177.6,22.200000000000003,0.008986486486486487,0.1163203495687177,12.943918600426223,190.54391859862446,222
LGB5,DPS1,scds_resource,2021-05-12 15:00:00,soft,1.0,j72,2672,867.2,108.4,0.0018404059040590406,4.070350920627284e-12,0.06624502360631558,803.4037859387823,1084
LAX5,DSD1,scds_resource,2021-05-11 15:00:00,soft,1.0,j49,336,103.2,12.9,0.015465116279069768,0.0,0.0,0.0,129
LAX5,DSD2,scds_resource,2021-05-11 15:00:00,soft,1.0,j50,92,22.4,2.8000000000000003,0.07125,0.0,0.0,0.0,28
LGB5,DPS1,scds_resource,2021-05-11 15:00:00,soft,1.0,j19,668,103.2,12.9,0.015465116279069768,0.0,0.0,0.0,129
LGB5,DPS3,scds_resource,2021-05-11 15:00:00,soft,1.0,j20,142,20.0,2.5,0.07980000000000001,0.0,0.0,0.0,25
