fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r364' 'r4043' 'r5243'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r364': 0.0, 'r4043': 0.0, 'r5243': 0.0}"
BFL1,DPS1,90012,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r364' 'r5243'],3.7894875356385698,2021-05-11 05:00:00,3.7894875212948835,1.8976298256859823e-09,1.2446057685439574e-08,"{'r92': 3.7894875212948835, 'r364': 1.2446057685439574e-08, 'r5243': 1.8976298256859823e-09}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r365' 'r4044' 'r5244'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r365': 0.0, 'r4044': 0.0, 'r5244': 0.0}"
BFL1,DPS1,90013,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r365' 'r5244'],2.273692521383142,2021-05-11 05:00:00,2.2736925075877754,1.8976220111608636e-09,1.1897744807658743e-08,"{'r92': 2.2736925075877754, 'r365': 1.1897744807658743e-08, 'r5244': 1.8976220111608636e-09}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r366' 'r4045' 'r5245'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r366': 0.0, 'r4045': 0.0, 'r5245': 0.0}"
BFL1,DPS1,90014,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r366' 'r5245'],1.515795014255428,2021-05-11 05:00:00,1.5157950004736909,1.8843794773733337e-09,1.1897356620720975e-08,"{'r92': 1.5157950004736909, 'r366': 1.1897356620720975e-08, 'r5245': 1.8843794773733337e-09}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r367' 'r4046' 'r5246'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r367': 0.0, 'r4046': 0.0, 'r5246': 0.0}"
BFL1,DPS1,90017,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r367' 'r5246'],3.031590028510856,2021-05-11 05:00:00,3.0315900141935836,1.8713442083063736e-09,1.2445930207347778e-08,"{'r92': 3.0315900141935836, 'r367': 1.2445930207347778e-08, 'r5246': 1.8713442083063736e-09}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r47' 'r92' 'r368' 'r4047' 'r5247'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r368': 0.0, 'r4047': 0.0, 'r5247': 0.0}"
BFL1,DPS1,90022,dim1,2021-05-12 23:59:59,3.14,not_defined,0,['r92' 'r368' 'r5247'],3.031590028510856,2021-05-11 05:00:00,3.0315900160344573,1.966681079639561e-09,1.0509717517629178e-08,"{'r92': 3.0315900160344573, 'r368': 1.0509717517629178e-08, 'r5247': 1.966681079639561e-09}"
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r47' 'r92' 'r369' 'r4048' 'r5248'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r369': 0.0, 'r4048': 0.0, 'r5248': 0.0}"
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r92' 'r369' 'r5248'],7.5789750712771395,2021-05-11 05:00:00,7.578975055696596,1.8713527639044824e-09,1.3709177046193485e-08,"{'r92': 7.578975055696596, 'r369': 1.3709177046193485e-08, 'r5248': 1.8713527639044824e-09}"
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r47' 'r92' 'r370' 'r4049' 'r5249'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r370': 0.0, 'r4049': 0.0, 'r5249': 0.0}"
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r92' 'r370' 'r5249'],6.821077564149426,2021-05-11 05:00:00,6.821077546120756,1.8584818181335466e-09,1.617019760032501e-08,"{'r92': 6.821077546120756, 'r370': 1.617019760032501e-08, 'r5249': 1.8584818181335466e-09}"
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r47' 'r92' 'r371' 'r4050' 'r5250'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r371': 0.0, 'r4050': 0.0, 'r5250': 0.0}"
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r92' 'r371' 'r5250'],3.7894875356385698,2021-05-11 05:00:00,3.7894875176354894,1.833260220124253e-09,1.6169813854281036e-08,"{'r92': 3.7894875176354894, 'r371': 1.6169813854281036e-08, 'r5250': 1.833260220124253e-09}"
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,['r47' 'r92' 'r372' 'r4051' 'r5251'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r372': 0.0, 'r4051': 0.0, 'r5251': 0.0}"
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,['r92' 'r372' 'r5251'],2.273692521383142,2021-05-11 05:00:00,2.273692505083627,1.8584693266742933e-09,1.4441045147440426e-08,"{'r92': 2.273692505083627, 'r372': 1.4441045147440426e-08, 'r5251': 1.8584693266742933e-09}"
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,['r47' 'r92' 'r373' 'r4052' 'r5252'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r373': 0.0, 'r4052': 0.0, 'r5252': 0.0}"
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,['r92' 'r373' 'r5252'],3.031590028510856,2021-05-11 05:00:00,3.031590013552972,1.9110470480416257e-09,1.3046837009980684e-08,"{'r92': 3.031590013552972, 'r373': 1.3046837009980684e-08, 'r5252': 1.9110470480416257e-09}"
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r374' 'r4053' 'r5253'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r374': 0.0, 'r4053': 0.0, 'r5253': 0.0}"
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r374' 'r5253'],4.547385042766284,2021-05-11 05:00:00,4.547385028367658,1.952476264061538e-09,1.244614267185125e-08,"{'r92': 4.547385028367658, 'r374': 1.244614267185125e-08, 'r5253': 1.952476264061538e-09}"
BFL1,DPS1,90033,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r375' 'r4054' 'r5254'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r375': 0.0, 'r4054': 0.0, 'r5254': 0.0}"
BFL1,DPS1,90033,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r92' 'r375' 'r5254'],1.515795014255428,2021-05-11 05:00:00,1.5157950004470386,1.9110322020842007e-09,1.18973566250959e-08,"{'r92': 1.5157950004470386, 'r375': 1.18973566250959e-08, 'r5254': 1.9110322020842007e-09}"
BFL1,DPS1,90039,dim1,2021-05-12 23:59:59,3.06,not_defined,0,['r47' 'r92' 'r376' 'r4055' 'r5255'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r376': 0.0, 'r4055': 0.0, 'r5255': 0.0}"
BFL1,DPS1,90039,dim1,2021-05-12 23:59:59,3.06,not_defined,0,['r92' 'r376' 'r5255'],3.7894875356385698,2021-05-11 05:00:00,3.7894875184972983,1.8843968038171404e-09,1.5256868814311972e-08,"{'r92': 3.7894875184972983, 'r376': 1.5256868814311972e-08, 'r5255': 1.8843968038171404e-09}"
